China,Chine,中国
Hong Kong SAR,Hong Kong RAS,香港特别行政区
United States,États-Unis,美国
Argentina,Argentine,阿根廷
Australia,Australie,澳大利亚
Austria,Autriche,奥地利
Bangladesh,Bangladesh,孟加拉国
Belgium,Belgique,比利时
Brazil,Brésil,巴西
Canada,Canada,加拿大
Chile,Chili,智利
Colombia,Colombie,哥伦比亚
Cyprus,Chypre,塞浦路斯
Denmark,Danemark,丹麦
Ecuador,Équateur,厄瓜多尔
Egypt,Égypte,埃及
Finland,Finlande,芬兰
France,France,法国
Germany,Allemagne,德国
Ghana,Ghana,加纳
Greece,Grèce,希腊
Hungary,Hongrie,匈牙利
India,Inde,印度
Indonesia,Indonésie,印度尼西亚
Iran,Iran,伊朗
Iraq,Irak,伊拉克
Ireland,Irlande,爱尔兰
Israel,Israël,以色列
Italy,Italie,意大利
Japan,Japon,日本
Jordan,Jordanie,约旦
Kenya,Kenya,肯尼亚
Laos,Laos,老挝
Lebanon,Liban,黎巴嫩
Macau SAR,Macao RAS,澳门特别行政区
Malaysia,Malaisie,马来西亚
Malta,Malte,马耳他
Mexico,Mexique,墨西哥
Mongolia,Mongolie,蒙古
Morocco,Maroc,摩洛哥
Myanmar,Myanmar,缅甸
Netherlands,Pays-Bas,荷兰
New Zealand,Nouvelle-Zélande,新西兰
Nigeria,Nigéria,尼日利亚
Norway,Norvège,挪威
Pakistan,Pakistan,巴基斯坦
Peru,Pérou,秘鲁
Philippines,Philippines,菲律宾
Poland,Pologne,波兰
Portugal,Portugal,葡萄牙
Russia,Russie,俄罗斯
Saudi Arabia,Arabie Saoudite,沙特阿拉伯
Singapore,Singapour,新加坡
South Africa,Afrique du Sud,南非
South Korea,Corée du Sud,韩国
Spain,Espagne,西班牙
St Kitts and Nevis,Saint-Christophe-et-Niévès,圣基茨和尼维斯
St Lucia,Sainte-Lucie,圣卢西亚
Sweden,Suède,瑞典
Switzerland,Suisse,瑞士
Taiwan,台湾,台湾
Thailand,Thaïlande,泰国
Tunisia,Tunisie,突尼斯
Turkey,Turquie,土耳其
Ukraine,Ukraine,乌克兰
United Arab Emirates,Émirats Arabes Unis,阿联酋
United Kingdom,Royaume-Uni,英国
Vanuatu,Vanuatu,瓦努阿图
Venezuela,Venezuela,委内瑞拉
Vietnam,Vietnam,越南
Other,Autre,其它